見る 	たり て 

拗じる 	に たり 
延ばす 	に たり 
見る 	て 
むく 	て たり て 
持つ 	て 

かく 	の 
する 	と 

分る 	か と 
寝る 	を 
払う 	と 

極め込む 	も が 
整う 	て 

わかる 	て 

分る 	か と 
する 	と 
思う 	に 

出来る 	て 
云う 	を 

云う 	は 
分る 	て 

解す 	くらい に 
する 	から 

する 	が 

出来る 	は 
する 	は 
考える 	も が 
する 	など に は 
ある 	も が 
見る 	っと も 
見る 	じゃ 

這入る 	と 

する 	て も 
差支える 	くらい 

する 	から 
いく 	て 
見る 	から 
する 	すら 

しかる 	が 

いう 	から 
信じる 	から 

解する 	が 
いう 	から 
分る 	から 

開く 	が 

する 	を 

する 	に は 
悟る 	も 
知れる 	を 
いう 	て も 

ねむる 	て と 
考える 	て 

見る 	て 
する 	て 
握る 	たり 
開く 	て 

離れる 	て 

かく 	て 
読む 	て 
躍る 	の 

来る 	って 
見る 	て 
する 	のに 
わかる 	と 
迂る 	は 
悟る 	て 
見える 	て 

なる 	に 
着く 	と 

奉る 	と 

書く 	ば 
分る 	と 
見える 	に 

違う 	で に 

認める 	が 
思う 	と 

くる 	の 
出る 	に 

飛び込む 	て 

受ける 	が 

する 	と 
来る 	と 

する 	に て という 

いる 	が 

しなびる 	を 
求める 	が 
話す 	から 
来る 	て 
する 	が 
聞く 	は 

する 	から 
出る 	て も 
思う 	ので と 
見る 	を 

向く 	と 

違う 	で と 

見る 	て 

食う 	たって 

噛む 	よ 
欠ける 	ね 

なる 	な と 

肥る 	に だって 
負ける 	ね 
ある 	と 

られる 	が 

聞く 	で も 

聞く 	ね 

思う 	か ね と 

読む 	て て 
ある 	が 

する 	と 
通る 	の 
する 	が 
書く 	て 

送る 	は 

する 	で も から 

尋ねる 	だけ は 

する 	が 

去る 	の 

引張る 	て 
略す 	て 

思う 	か 
もす 	ので 
落ちる 	よ と 

云う 	で 
する 	と 
出る 	と 
する 	て 

古る 	の 

なる 	て 
透かす 	と 
当てる 	の 

出る 	は 

着る 	が 
有る 	から 

行く 	で 
食い切る 	の 

云う 	も 

忍ぶ 	という 
する 	は 
限る 	は 

する 	て 
する 	て 

受ける 	て 
せる 	すら 

寝る 	に 

食う 	の 
つける 	が 
食う 	が 
置く 	て 

する 	が 

見る 	に 
重なる 	て 
なる 	て 
余る 	に 
寝ぼける 	て て 
擦る 	て て 
しゃくう 	を 

見る 	が 
割り出す 	という 
優る 	が 
知れる 	て 

する 	に 
しまう 	が 
思う 	て 
言う 	など は 
通じる 	て 
黙る 	て 

出掛ける 	は 
いる 	か 

